Serial Number,OCV (V),R0 (Ohm),R0 Charge (Ohm),R0 Discharge (Ohm),DCIR (Ohm),DCIR Charge (Ohm),DCIR Discharge (Ohm)
1,3.451925,0.0266975607407407,0.014221927407407353,0.03917319407407405,0.03430650000000002,0.0126170000000001,0.055995999999999935
2,3.452951,0.0264115118518522,0.01425209925925941,0.03857092444444499,0.03376549999999989,0.012207999999999775,0.05532300000000001
3,3.452583,0.026312806666666244,0.014254367407406932,0.03837124592592556,0.03326849999999992,0.012093999999999827,0.05444300000000002
4,3.452779,0.026600857777777875,0.01445220000000047,0.03874951555555528,0.033896499999999774,0.012430999999999859,0.05536199999999969
5,3.452546,0.02654802296296288,0.014240383703703507,0.038855662222222254,0.033859000000000083,0.012382000000000115,0.05533600000000005
6,3.452484,0.02668144148148177,0.01457619851851888,0.03878668444444466,0.03398250000000003,0.012442000000000064,0.05552299999999999
7,3.452478,0.026204727407407535,0.014283789629629506,0.038125665185185564,0.033519500000000146,0.012173999999999907,0.054865000000000386
8,3.452284,0.02668976592592598,0.014635595555555714,0.038743936296296244,0.03419700000000003,0.012576999999999838,0.05581700000000023
9,3.45242,0.026649566666666624,0.014533065185184935,0.038766068148148314,0.03406499999999979,0.012478999999999907,0.05565099999999967
10,3.452846,0.026314380740740884,0.014378551111111637,0.03825021037037013,0.03352199999999983,0.012112999999999818,0.05493099999999984
11,3.449408,0.026605979259259005,0.014376325925925304,0.038835632592592706,0.03324949999999993,0.012121000000000048,0.054377999999999815
12,3.452962,0.02642438962963012,0.014274388148148631,0.038574391111111606,0.03343749999999979,0.012061999999999795,0.05481299999999978
13,3.452278,0.026762248888888784,0.014548124444444088,0.03897637333333348,0.03394549999999996,0.012427999999999884,0.05546300000000004
14,3.452768,0.02664926000000012,0.014487511111111129,0.03881100888888911,0.03361249999999982,0.012312999999999796,0.05491199999999985
15,3.452529,0.026758880000000262,0.014499675555555758,0.03901808444444477,0.033949999999999925,0.01246400000000003,0.05543599999999982
16,3.452588,0.026309317777778007,0.014367702222222167,0.03825093333333385,0.0335755000000002,0.012290000000000134,0.05486100000000027
17,3.452652,0.026844037777777663,0.01419316740740717,0.039494908148148156,0.03381400000000001,0.01238399999999995,0.05524400000000007
18,3.452634,0.02628953333333306,0.014161503703703282,0.03841756296296284,0.03342199999999984,0.01221199999999989,0.05463199999999979
19,3.452718,0.02679240074074052,0.014615875555555213,0.038968925925925824,0.03396250000000012,0.01244600000000018,0.055479000000000056
20,3.452752,0.02634855703703698,0.01431563555555515,0.03838147851851881,0.03322700000000012,0.012179000000000162,0.05427500000000007
21,3.452875,0.02654996814814825,0.014550548148148046,0.038549388148148456,0.03356550000000014,0.012212000000000334,0.05491899999999994
22,3.452744,0.026598678518518604,0.014602164444444732,0.038595192592592475,0.03362299999999996,0.012360999999999844,0.05488500000000007
23,3.452216,0.026826475555555396,0.014701282962962914,0.03895166814814788,0.03404699999999994,0.012577999999999978,0.0555159999999999
24,3.452343,0.026496253333333497,0.014540425185185057,0.03845208148148194,0.03358400000000006,0.012341000000000157,0.05482699999999996
25,3.452511,0.026407400740740883,0.01452683259259313,0.038287968888888635,0.03344550000000002,0.012242000000000086,0.05464899999999995
26,3.452272,0.026657885925925884,0.014650982222221831,0.038664789629629936,0.03388850000000021,0.01253100000000007,0.05524600000000035
27,3.452383,0.02673043407407394,0.014661071111111035,0.03879979703703684,0.03379549999999987,0.012433999999999834,0.0551569999999999
